finish,player_name,score_to_par,r1,r2,r3,r4,putter_type,putter_brand,putter_model,putter_notes,source
12,Jason Day,-7,69,68,68,76,mallet,TaylorMade,Spider Tour,Long-time Spider user; confirmed 2026,GolfWRX equipment coverage
T13,Shane Lowry,-6,72,71,68,80,mallet,Odyssey,White Hot OG #7,Confirmed mallet user 2025-2026,Golf Monthly equipment coverage
T13,Hideki Matsuyama,-6,71,71,70,71,blade,Scotty Cameron,009M center-shaft prototype,Known for custom 009M; confirmed 2025 Masters win setup,Golf Monthly / PGA Tour equipment reports
T13,Ludvig Aberg,-6,72,71,70,69,blade,Scotty Cameron,Newport 2 prototype,Confirmed blade user; known for traditional setup,Golf Monthly top-50 / Ryder Cup equipment reports
T13,Jordan Spieth,-6,71,72,70,70,blade,Scotty Cameron,Prototype blade,Long-time Scotty Cameron blade user; confirmed 2026,GolfWRX WITB / ESPN profile
T13,Jon Rahm,-6,73,70,68,71,mallet,PING,PLD Oslo,Known mallet user on LIV; consistent setup,Golf Monthly equipment coverage
T18,Adam Scott,-5,73,71,70,70,mallet,L.A.B.,MEZZ.1 Max,Switched to LAB around 2025; confirmed at 2026,Golf Monthly equipment coverage
T18,Bryson DeChambeau,-5,72,69,71,72,blade,SIK / L.A.B.,DF3,Unique armlock; blade-style zero-torque design,Golf Monthly blade putter article Feb 2026
T18,Akshay Bhatia,-5,72,72,70,70,mallet,Ping,PLD Tyne 4,Confirmed mallet user 2025-2026,NBC Sports Masters field rankings
T18,Tommy Fleetwood,-5,72,70,70,72,mallet,TaylorMade,Spider Tour Black,FedExCup champion 2025; Spider user,PGA Tour article Nov 2025 / Eden Steak
T18,Robert MacIntyre,-5,71,72,71,70,mallet,Odyssey,Tri-Hot 5K,Consistent Odyssey mallet user 2025-2026,GolfWRX equipment coverage
T18,Brooks Koepka,-5,70,73,72,69,blade,Scotty Cameron,Newport 2,Returns to Newport blade-style for 2026 PGA Tour,Golf Monthly WITB Brooks Koepka 2026
T18,Matt Fitzpatrick,-5,74,70,70,70,blade,Scotty Cameron,Phantom X 5,Known blade/smaller mallet user; confirmed 2026,Golf Monthly WITB 2026
T25,Viktor Hovland,-4,72,71,73,69,mallet,Ping,PLD Oslo,Confirmed mallet; working through consistency issues,GolfChannel Masters ranking
T25,Dustin Johnson,-4,74,71,70,70,mallet,TaylorMade,Spider Tour,Long-time Spider mallet user,GolfWRX equipment archive
T25,Min Woo Lee,-4,74,71,70,70,mallet,Odyssey,Ai-One,Confirmed mallet user; hot entering Masters,Golf Channel ranking
T25,Wyndham Clark,-4,73,71,70,71,mallet,Odyssey,Ai-One Milled,Confirmed Odyssey mallet user 2025,Golf Monthly equipment survey
T25,Patrick Cantlay,-4,72,72,71,70,mallet,Scotty Cameron,Phantom X,Confirmed mallet user 2025-2026,ESPN Masters preview
T25,Sepp Straka,-4,73,71,73,68,mallet,Scotty Cameron,Phantom 5,Confirmed mallet user; Austrian tour player,GolfChannel field ranking
T25,Jake Knapp,-4,73,70,72,70,mallet,Scotty Cameron,Phantom T-5.2,Led PGA Tour SG:Total early 2026; top-2 putting,CBS Sports Masters preview
T25,Justin Thomas,-4,74,72,70,69,blade,Scotty Cameron,Phantom 5,Uses Phantom 5 shape; traditionally blade-adjacent,PGA Tour equipment report 2025
T25,Corey Conners,-4,72,73,70,70,mallet,Odyssey,White Hot OG,Ball-striker who leans on mallet for putting stability,ESPN Masters field preview
T25,Cameron Smith,-4,74,71,70,70,mallet,Scotty Cameron,Phantom X,MC 2025 Masters but consistent mallet user,Golf Monthly equipment survey
T35,Sungjae Im,-3,73,72,70,71,blade,Scotty Cameron,Newport 2,No new equipment in 2025 bag; classic blade,Golf Monthly top-50 equipment survey
T35,Jacob Bridgeman,-3,74,72,70,70,mallet,Scotty Cameron,Phantom T5,Masters debut; highly ranked entering 2026,CBS Sports field preview
T35,Chris Gotterup,-3,73,71,71,72,mallet,Odyssey,Ai-One,Two 2026 wins; consistent mallet user,CBS Sports / NBC Sports field preview
T35,Brian Harman,-3,75,71,71,69,mallet,Ping,PLD Tyne,Consistent Ping mallet user; confirmed 2025-2026,GolfWRX equipment
T35,Nicolai Hojgaard,-3,74,72,71,70,mallet,TaylorMade,Spider Tour,Confirmed mallet user 2025-2026,GolfChannel field rankings
T35,J.J. Spaun,-3,74,72,71,70,mallet,Odyssey,Ai-One Milled,2025 US Open champion; Odyssey mallet user,GolfDigest power rankings 2026
MC,Kurt Kitayama,1,73,75,,,blade,Scotty Cameron,Newport 2 Tour Teryllium Prototype,Used for 3M Open 2025 win; confirmed blade 2025-2026,Golf Monthly blade article Feb 2026
MC,Gary Woodland,2,74,76,,,mallet,Scotty Cameron,Phantom,Comeback story; mallet setup confirmed 2026,NBC Sports field ranking
MC,Haotong Li,3,74,77,,,mallet,Scotty Cameron,Phantom X,Quintuple bogey on 12 in R3; mallet user,Golf Channel live coverage
MC,Fred Couples,5,74,79,,,blade,Ping,Anser,Longtime blade user; honorary starter history,Wikipedia 2026 Masters
